Name,Team,PTS,AST,REB,3PM
Joel Embiid,PHI,32.1,6.3,11.3,1.0
Bennedict Mathurin,IND,13.0,2.1,3.7,1.2
Kevin Durant,PHX,31.4,5.5,7.1,2.3
Luka Doncic,DAL,30.5,7.8,7.9,3.8
Shai Gilgeous-Alexander,OKC,30.4,6.2,6.1,1.3
De'Aaron Fox,SAC,29.9,6.0,4.3,3.2
Giannis Antetokounmpo,MIL,29.9,4.6,10.6,0.4
Deandre Ayton,POR,12.7,1.6,10.9,0.0
Kevin Huerter,SAC,12.6,2.9,4.3,2.5
Harrison Barnes,SAC,12.6,1.5,3.1,1.9
Moe Wagner,ORL,12.5,1.2,4.4,0.6
Jaden Ivey,DET,12.5,2.9,2.6,1.1
Marcus Smart,MEM,12.5,5.0,2.5,1.6
Stephen Curry,GSW,29.7,3.9,4.6,5.3
Nikola Jokic,DEN,28.8,8.9,13.4,1.4
Jayson Tatum,BOS,28.1,4.1,8.9,3.2
Donovan Mitchell,CLE,27.0,5.3,4.9,3.1
Cam Thomas,BRK,26.9,2.1,3.8,2.1
Jalen Suggs,ORL,12.4,2.7,4.0,1.6
De'Anthony Melton,PHI,12.3,3.8,4.3,2.2
Jrue Holiday,BOS,12.3,4.9,7.4,1.5
Russell Westbrook,LAC,12.2,5.4,6.2,0.8
Naz Reid,MIN,12.2,0.6,3.8,1.6
Anthony Edwards,MIN,26.6,5.3,5.9,2.5
Trae Young,ATL,26.5,10.4,3.0,3.1
Tyrese Maxey,PHI,26.4,6.8,4.9,3.2
Damian Lillard,MIL,25.6,6.3,4.5,2.9
LeBron James,LAL,25.5,6.6,8.0,2.3
Rudy Gobert,MIN,12.1,1.3,11.3,0.0
Josh Giddey,OKC,12.1,4.8,5.8,0.6
Obi Toppin,IND,12.0,1.1,3.1,0.9
Collin Sexton,UTA,12.0,3.3,2.6,1.1
Saddiq Bey,ATL,11.9,1.2,5.9,1.6
Paul George,LAC,25.4,3.6,6.2,3.3
Tyrese Haliburton,IND,25.4,12.1,3.9,3.9
Jalen Brunson,NYK,24.9,5.1,3.6,3.2
LaMelo Ball,CHA,24.7,8.2,5.5,3.5
Grayson Allen,PHX,11.9,2.9,4.5,2.4
Bobby Portis,MIL,11.8,1.3,6.6,0.8
Andrew Wiggins,GSW,11.8,1.1,4.1,0.8
Deni Avdija,WAS,11.8,3.4,5.4,1.1
Isaiah Stewart II,DET,11.8,1.4,7.4,1.5
Rui Hachimura,LAL,11.8,1.0,3.8,1.3
Jonathan Kuminga,GSW,11.6,1.0,3.0,0.4
Brandon Ingram,NOP,24.6,5.1,5.3,1.4
Kyrie Irving,DAL,24.4,5.5,4.2,2.8
Lauri Markkanen,UTA,23.7,1.1,8.7,3.3
Desmond Bane,MEM,23.6,5.0,4.4,3.3
Zion Williamson,NOP,23.2,4.6,5.9,0.1
Kyle Kuzma,WAS,22.9,4.6,5.9,2.4
Tyler Herro,MIA,22.9,4.6,5.0,3.1
Jerami Grant,POR,22.8,2.3,3.8,2.7
Bam Adebayo,MIA,22.7,3.9,10.4,0.1
Khris Middleton,MIL,11.6,4.2,3.9,1.2
Herb Jones,NOP,11.6,2.9,4.1,1.1
Reggie Jackson,DEN,11.5,4.0,2.4,1.5
"Bruce Brown, Jr.",IND,11.5,2.8,4.2,1.3
Jakob Poeltl,TOR,11.3,2.4,8.5,0.0
Dorian Finney-Smith,BRK,11.2,1.4,5.3,2.8
"Jaime Jaquez, Jr.",MIA,11.2,2.4,3.8,1.3
Anthony Davis,LAL,22.1,3.4,12.1,0.2
Zach LaVine,CHI,22.1,3.4,5.1,2.5
Cade Cunningham,DET,22.0,7.1,3.6,1.9
Karl-Anthony Towns,MIN,21.8,2.9,8.9,2.0
Mikal Bridges,BRK,21.8,3.9,5.9,2.1
C.J. McCollum,NOP,21.7,5.7,4.8,3.2
DeMar DeRozan,CHI,21.5,4.5,3.3,0.9
Jaylen Brown,BOS,21.4,3.4,4.8,2.4
Jimmy Butler,MIA,20.7,4.0,5.0,1.2
Ausar Thompson,DET,11.1,3.2,9.8,0.3
Kentavious Caldwell-Pope,DEN,11.1,2.6,1.9,1.6
"Gary Trent, Jr.",TOR,11.1,1.1,1.9,2.0
Isaiah Joe,OKC,11.1,1.1,2.2,2.9
Marvin Bagley III,DET,10.9,1.4,5.2,0.1
Malik Beasley,MIL,10.9,1.4,4.3,2.6
Tyus Jones,WAS,10.9,4.9,2.8,1.1
Aaron Nesmith,IND,10.8,1.1,3.2,1.8
Kawhi Leonard,LAC,20.4,3.5,5.5,2.2
Alperen Sengun,HOU,20.2,5.6,9.1,0.7
Pascal Siakam,TOR,20.0,5.3,6.8,0.9
Dejounte Murray,ATL,20.0,5.7,4.4,2.2
Domantas Sabonis,SAC,19.9,7.0,12.3,0.5
Paolo Banchero,ORL,19.8,4.6,6.5,1.4
Jalen Green,HOU,19.6,2.9,4.4,2.1
Julius Randle,NYK,19.6,5.2,9.6,1.6
Franz Wagner,ORL,19.5,3.2,5.6,1.5
"Jaren Jackson, Jr.",MEM,19.4,1.9,6.1,1.5
Dario Saric,GSW,10.8,2.2,6.4,1.6
Luguentz Dort,OKC,10.7,1.1,3.9,1.8
Corey Kispert,WAS,10.7,1.5,2.6,1.9
Jusuf Nurkic,PHX,10.5,3.9,9.1,0.6
Ivica Zubac,LAC,10.5,0.7,8.6,0.0
Clint Capela,ATL,10.4,0.9,9.8,0.0
Mike Conley,MIN,10.4,5.8,2.8,2.1
Grant Williams,DAL,10.4,1.6,3.6,2.5
Jeremy Sochan,SAS,10.4,4.4,5.4,0.8
Tobias Harris,PHI,19.3,2.9,6.3,1.2
Victor Wembanyama,SAS,19.2,2.6,9.5,1.5
Scottie Barnes,TOR,19.0,5.6,9.1,1.9
Kristaps Porzingis,BOS,18.9,1.9,6.7,1.6
Jordan Clarkson,UTA,18.3,4.6,3.3,1.8
Chet Holmgren,OKC,18.1,2.5,8.0,1.8
Jordan Poole,WAS,17.7,3.6,2.7,2.0
Jalen Williams,OKC,17.5,3.6,4.1,1.1
"Michael Porter, Jr.",DEN,17.4,1.4,7.7,3.0
Jalen Smith,IND,10.1,0.8,5.5,1.0
Alex Caruso,CHI,9.8,2.2,3.6,1.6
Sam Hauser,BOS,9.7,0.8,3.0,2.8
Daniel Gafford,WAS,9.6,1.3,7.6,0.0
Talen Horton-Tucker,UTA,9.6,4.6,3.0,1.2
Jaden McDaniels,MIN,9.5,1.3,2.2,1.0
"Wendell Carter, Jr.",ORL,9.4,1.6,8.6,1.0
Keyonte George,UTA,9.4,5.3,2.9,1.6
Matt Ryan,NOP,9.3,1.1,2.3,2.5
Myles Turner,IND,17.2,1.5,7.5,1.6
Tim Hardaway Jr.,DAL,17.1,1.7,3.5,3.4
D'Angelo Russell,LAL,16.9,6.2,3.5,2.2
Shaedon Sharpe,POR,16.9,3.1,5.4,1.8
Dennis Schroder,TOR,16.8,6.5,2.8,1.9
Fred VanVleet,HOU,16.6,9.0,4.1,3.1
Keldon Johnson,SAS,16.6,4.3,6.2,2.0
Evan Mobley,CLE,16.3,3.2,10.4,0.1
Chris Paul,GSW,9.3,7.7,3.8,1.2
Christian Braun,DEN,9.2,1.9,4.5,0.7
Killian Hayes,DET,9.2,4.3,2.7,0.9
Josh Richardson,MIA,8.9,2.9,2.6,1.1
