Name,PTS,AST,REB,3PM
Nikola Jokic,39,9,11,0
Jalen Brunson,35,8,6,5
Jayson Tatum,34,4,9,5
Giannis Antetokounmpo,33,6,16,0
Trae Young,33,7,5,6
Damian Lillard,31,4,5,4
Franz Wagner,30,2,7,2
Cole Anthony,30,7,7,1
Devin Booker,28,11,5,1
Julius Randle,28,2,5,1
DeMar DeRozan,27,6,6,2
Michael Porter Jr.,25,2,7,4
Eric Gordon,25,2,2,6
Spencer Dinwiddie,24,7,5,3
Anthony Edwards,24,7,5,1
De'Andre Hunter,24,2,4,5
Darius Garland,24,8,2,3
Bogdan Bogdanovic,23,0,7,7
Paolo Banchero,23,8,7,2
Miles Bridges,23,2,10,1
Coby White,23,4,5,5
Victor Wembanyama,22,2,11,2
Jerami Grant,22,2,2,3
Terry Rozier,22,9,1,2
Jaylen Brown,21,3,7,2
Reggie Jackson,20,6,7,3
Zach LaVine,20,4,6,1
Royce O'Neale,20,4,9,6
Lonnie Walker IV,20,0,1,6
Patrick Williams,20,0,4,4
Max Strus,20,5,11,4
Brandon Miller,20,1,5,2
Devin Vassell,19,3,1,4
Immanuel Quickley,18,1,2,3
Jarrett Allen,18,3,4,0
Karl-Anthony Towns,18,2,8,1
Jakob Poeltl,18,2,13,0
Jaren Jackson Jr.,18,3,4,2
Pascal Siakam,18,6,8,0
Mike Conley,18,10,4,6
Malcolm Brogdon,18,12,8,2
Shaedon Sharpe,17,3,6,1
Kentavious Caldwell-Pope,16,6,1,2
Malaki Branham,15,3,2,3
Scottie Barnes,15,3,8,1
Mikal Bridges,15,6,2,4
Derrick White,15,11,4,0
Dennis Schroder,15,4,2,2
Malik Beasley,14,0,6,4
Santi Aldama,14,2,7,1
Deandre Ayton,14,2,13,0
Jordan Goodwin,14,5,7,2
PJ Washington,13,2,4,3
Rudy Gobert,13,0,4,0
Gary Trent Jr.,13,0,1,1
Julian Champagnie,13,1,1,3
Scoot Henderson,13,1,4,3
Desmond Bane,13,4,2,3
Bobby Portis,12,1,8,2
Mark Williams,12,1,6,0
Jalen Suggs,12,1,5,2
Naz Reid,12,0,6,1
Sam Hauser,12,2,4,4
Derrick Rose,12,4,2,0
Evan Mobley,12,1,14,0
Nassir Little,11,0,2,3
